train	SEX_SYMBOL	None	"Trains represent penises, a sexual symbol towards the former subject."
car	SEX_SYMBOL	None	"Depending on the context, cars either refer to a lack of confidence and being passive or a current situation."
ship	SEX_SYMBOL	None	"Boats represent female genitalia."
plane	SEX_SYMBOL	None	"Planes can represent rapid unexpected changes. This indicates your goals or ideals are too high and unattainable."
bridge	PSYCHE	SOMEWHAT_POSITIVE	"Bridges show a strong mother-like relation to a goal or destination."
storm	PSYCHE	None	"Storms show conflict in the unconscious."
beach	PSYCHE	None	"Beaches are a relaxing environments. Maybe you had some happy experiences recently?"
smoke	None	NEGATIVE	None
cigarette	SEX_SYMBOL	None	"Cigarettes resemble penises. Perhaps you have some sexual uncertainties?"
balloon	LIFE_FULFILL	None	"Ballons show that your life is full of aspirations, goals, and ambitions which could go either way depending on how you handle it."
missile	SEX_SYMBOL	NEGATIVE	"A Missile shows an erections towards something in the uncoincious."
rocket	SEX_SYMBOL	None	"A rocket represents an erection."
fly	SEX_SYMBOL	POSITIVE	"Flying shows current success in life."
reptile	SEX_SYMBOL	None	"Reptiles are a sign to be cautious and take time over matters."
snake	BODY	None	"Freud believed the snake is connected to our sexual energy. It is a phalic symbol that is connected to male figures in one's life."
fish	BODY	None	"A Fish typically takes on its biblical definition: the truth. One of Freuds patients held a wriggling fish and it was assumed to represent a penis. Late, Freud suggested that the fish represented the patient's mother (pisces) rather than a penis."
coat	BODY	None	"A coat is a sign of the person you display publically."
mouth	SEX_SYMBOL	None	"A mouth represents female genitalia."
church	SEX_SYMBOL	None	"A church represents female genitalia."
pit	SEX_SYMBOL	None	"A pit represents female genitalia."
cave	SEX_SYMBOL	None	"A cave represents female genitalia."
bottle	SEX_SYMBOL	None	"A bottle represents female genitalia."
box	SEX_SYMBOL	None	"A box represents female genitalia."
suitcase	SEX_SYMBOL	None	"A suitcase represents female genitalia."
shoe	SEX_SYMBOL	None	"A represents female genitalia."
sweet	SEX_SYMBOL	POSITIVE	"Sweets represent a stand in for sexual delight."
fruit	SEX_SYMBOL	POSITIVE	"Fruits typically represent a sexual desire and positive future opportunities."
good	None	POSITIVE	None
great	None	POSITIVE	None
nice	None	POSITIVE	None
fun	None	POSITIVE	None
love	None	POSITIVE	None
comforting	None	POSITIVE	None
happy	None	POSITIVE	None
beautiful	None	POSITIVE	None
bad	None	NEGATIVE	None
evil	None	VERY_NEGATIVE	None
scary	None	VERY_NEGATIVE	None
spooky	None	NEGATIVE	None
shame	None	NEGATIVE	None
night	None	NEGATIVE	None
dark	None	NEGATIVE	None
hit	None	NEGATIVE	None
fight	None	NEGATIVE	None
stab	None	NEGATIVE	None
shoot	None	NEGATIVE	None
hat	None	NEGATIVE	None
scream	None	NEGATIVE	None
jump	None	SOMEWHAT_NEGATIVE	None
stalk	None	SOMEWHAT_NEGATIVE 	None
trapped	PSYCHE	None 	"Being trapped suggests a lack of control. One might try to think about what in their life is responsible for feeling this way. For more information, look into Jung's dream symbols."
forest	PYSCHE	None	"Forests or woods represent isolation and signify the uncoincious."
chase	PSYCHE	None	"Being chased and running away is sign of reluctance to face a cause of stress in your life."
white	PSYCHE	None	"The colour white is associated to our coincious mind, according to Carl Jung (1930)."
black	PSYCHE	None	"The colour black is associated to our uncoincious mind, according to Carl Jung (1930)."
blue	PSYCHE	None	"The colour blue is associated to thinking, according to Carl Jung (1930)."
red	PSYCHE	None	"Red signifies your feelings, according to Carl Jung (1930)."
yellow	PSYCHE	None	"The colour yellow represents intuition, according to Carl Jung (1930)."
green	PSYCHE	None	"The colour green represents sensation, according to Carl Jung (1930)."
silver	LIFE_FULFILL	None	"Silver represents purity and justice. It is also a symbol for protection, according to Carl Jung (1930)."
gold	LIFE_FULFILL	None	"Gold represents wealth, determination and development, according to Carl Jung (1930)."
orange	LIFE_FULFILL	None	"The colour Orange suggests an expanse in horizons, according to Carl Jung (1930)."
pink	SEX_SYMBOL	None	"The colour pink represents sex and lust, according to Carl Jung (1930)."
purple	PSYCHE	None	"The colour Purple denotes a mystic connection, according to Carl Jung (1930)."
sunset	LIFE_FULFILL	None	"Sunsets represent reconciliation over ones life."
octopus	LIFE_FULFILL	None	"Octopuses represent entanglement and constrictive life situations."
running	LIFE_FULFILL	None	"Running indicates an extreme. Either chasing a dream, escaping something threatening."
fire	PSYCHE	VERY_NEGATIVE	"Fires typically resemble anger and destruction. Indicates something is disturbing you."
wood	PSYCHE	None	"Woods or forests represent isolation and signify the uncoincious."
flamingo	PSYCHE	None	"Woods or forests represent isolation and signify the uncoincious."
mountain	PSYCHE	None	"Mountains represent peaks. Its likely that you have overcome a major milestone if you end up on  top of a mountain."
fall	LIFE_FULFILL	NEGATIVE	"Falling is a lose of control."
